Tool name,Organization,Website,sub_module,Environmental indicators,Quick Description,Assessment Type,Perimeters,Assessed Functional Units,data_entry_points,ghg_scope,life_cycle_assessment,Life Cycle Step,Main focus,Focus,Licence,Self-Hostable,Originating Country,Logo,Inside Model,Methodology Transparency,Status,Creator,Creation date,Sources,Creator_comment,reviewer_1,review_1_date,review_1_explanation,reviewer_2,review_2_date,review_2_explanation,Linked Publications
CO2Scope,Easyvirt,https://www.co2scope.com/,,"Final Energy (J/Wh),GWP (CO2eq)",,"Evaluation,Measure",Infra - Datacenter,"Machine,Room",,,,"Usage,Manufacturing,Extraction",,,Closed Source / Commercial,Yes,France,cropped-cropped-CO2-Scope-long-1-300x62.png.webp(https://db.boavizta.org/dltemp/NleT5NXYCKbZG2rT/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/n5Eewmau2zJg4C7Cq-.webp),,,Sandbox,Benoit Petit,2024-02-16,,,,,,,,,0
Carbon Impact,Dynatrace,https://www.dynatrace.com/hub/detail/carbon-impact/,,GWP (CO2eq),,Evaluation,Infra - Cloud,Machine,,,,Usage,,,Closed Source / Commercial,No,USA,,,,Sandbox,Gaël Duez,,,,,,,,,,0
Carbonifer,Carbonifer,https://carbonifer.io/,,GWP (CO2eq),,Evaluation,Infra - Cloud,Machine,,,,,,,,Yes,France,chrome_uDA0oqZNNj.png(https://db.boavizta.org/dltemp/REXMr4SEHiXEgNMp/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/Jj-qIW-7IYbc8rLiy8.png),,,Sandbox,Gaël Duez,,,,,,,,,,0
Cloud-carbon,re-cinq,https://github.com/re-cinq/cloud-carbon,,GWP (CO2eq),A open telemetry exporter to calculate the carbon emissions generated by your cloud infrastructure,Evaluation,Infra - Cloud,Application,,,,Usage,,,Open-Source (Apache 2.0),Yes,Denmark,,,TBQ,Sandbox,Gaël Duez,2024-02-02,,,,,,,,,0
Code Carbon,Data For Good,https://codecarbon.io/,,,,"Measure,Evaluation",,,,,,,,,,Yes,France,,,,Sandbox,Gaël Duez,,,,,,,,,,0
Digital Carbon Ratings,Sustainable Web Design,https://sustainablewebdesign.org/digital-carbon-ratings/,,,,,,,,,,,,,,,USA,,,,Sandbox,Gaël Duez,,,,,,,,,,0
E-footprint,Boavizta,https://pypi.org/project/efootprint/,,GWP (CO2eq),A toolkit for exhaustively modeling the environmental impact of digital services.,Evaluation,"Software - Backend,Equipment - End-user Devices,Software - API,Software - Web Apps,Software - Mobile Apps",Application,,,,,Calculation,Awareness,Open-Source (AGPLv3),Yes,France,,,Fully Disclosed,Sandbox,Youen Chéné,2024-02-14,,,,,,,,,0
Eco-Qube,Eco-Qube Consortium,https://www.ecoqube.org/,NR,Final Energy (J/Wh),ECO-Qube is a holistic management system which aims to enhance energy efficiency and cooling performance by orchestrating both hardware and software components in edge computing applications,Evaluation,Infra - Datacenter,Machine,TBQ,TBQ,TBQ,,Calculation,,TBQ,TBQ,Germany,logo%20(1).png(https://db.boavizta.org/dltemp/NcVZvhAjSHZkTz08/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/umJ6wKUabPCWCTWyLQ.png),TBQ,,Sandbox,,,,,,,,,,,0
Eco2AI,,,,,,,,,,,,,,,,Yes,,eco2ai_logo_cut.jpg(https://db.boavizta.org/dltemp/m3mWJlCZMFzowilA/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/nFq7PU53zKnjpXSvZM.jpg),,,Sandbox,Gaël Duez,,,,,,,,,,0
EcoCI,Green Coding Berlin,,,,,,Software - CI/CD,"User Story,Request (HTTP),Feature,Project,Team,Application",,,,,,,,Yes,Germany,,,,Sandbox,Gaël Duez,,,,,,,,,,0
Emission Impact Dashboard,Microsoft,,,,,,,,,,,,,,,,,,,,Sandbox,Gaël Duez,,,,,,,,,,0
Google Cloud Carbon Footprint,Google,https://cloud.google.com/carbon-footprint,,,,,,,,,,,,,,,USA,google-logo-png-google-icon-logo-png-transparent-svg-vector-bie-supply-14.png(https://db.boavizta.org/dltemp/7iSx_0TX5RVJRF3I/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/OyrkeIwETRe8e-8LFO.png),,,Sandbox,Gaël Duez,,,,,,,,,,0
GreenPixie,,https://greenpixie.com/,,GWP (CO2eq),,Evaluation,Infra - Cloud,"Application,Project,Team",,,,"Manufacturing,Usage",,,Closed Source / Commercial,No,United Kingdom,greenpixie.png(https://db.boavizta.org/dltemp/yHM_JO83XaOQ9Gai/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/e3qrgidPNbAUGmxgoV.png),,,Sandbox,Gaël Duez,,,,,,,,,,0
GreenTrackr,Concerto,https://conserto.pro/greentrackr/,,,,,,,,,,,,,,,,chrome_TAOCOFQXPy.png(https://db.boavizta.org/dltemp/V7u36v5rrdGwn1GA/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/Q-vhwl__VyRpnndfcw.png),,,Sandbox,Gaël Duez,,,,,,,,,,0
Greenbids,Greenbids,https://www.greenbids.ai/,,GWP (CO2eq),"Calculate, reduce and drive websites  environmental footprint.",Evaluation,Software - Web Content,,,,,,,,,,France,greenbids-logo.svg(https://db.boavizta.org/dltemp/sxuv8EoLp_TXWHS6/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/0EFNR4EPhdsClBltix.svg),,,Sandbox,Gaël Duez,2024-03-11,,,,,,,,,0
Greenframe,Marmelab,https://greenframe.io/,,,,Evaluation,,,,,,,,,,,France,chrome_NV1EOvYEVh.png(https://db.boavizta.org/dltemp/WeqNmPsIXdSDBJXu/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/Zv2eCDnGzQehWdqfi2.png),,,Sandbox,Gaël Duez,,,,,,,,,,0
Greenly,,,,,,,,,,,,,,,Closed Source / Commercial,No,,8b919923-0cbf-42f5-a1ef-fe29516a0975_logo-greenly.avif(https://db.boavizta.org/dltemp/J-88VYb6TV7GjIp8/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/LTo0vVckVtyefrJbjB.avif),,,Sandbox,Gaël Duez,,,,,,,,,,0
JoularJX,,https://github.com/joular/joularjx,,,,,"Infra - Datacenter,Software - Development tools,Software - CI/CD","Process (System),Application,Machine",,,,Usage,,,,Yes,,joularjx.png(https://db.boavizta.org/dltemp/Vm6MB7xS3lc9Ua3T/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/Xv9rx1LYelAgTcn3GT.png),,,Sandbox,Last editor,,,,,,,,,,0
Lowtus?,,,,,Solution listée dans le panorama Aelan mais inconnue,,,,,,,,,,,,,,,,Sandbox,Gaël Duez,,,,,,,,,,0
Muchas Glacias,,,,,,,,,,,,,,,,No,,,,,Sandbox,Last editor,,,,,,,,,,0
NumEcoVal,"MTE, Sopra Steria",https://gitlab-forge.din.developpement-durable.gouv.fr/pub/numeco/m4g/numecoeval,,,,Evaluation,"Software - Web Apps,Software - API",,,,,"Extraction,Manufacturing,Usage",,,Open-Source (Apache 2.0),Yes,,,,,Sandbox,Youen Chéné,2024-02-14,,,,,,,,,0
Pilosa,Pilosa,https://www.pilosa.io/,,GWP (CO2eq),"Pilosa allows you to get carbon footprint insights in your server infrastructure as well as your frontend applications by collecting real-time data from servers and visitors. ",Evaluation,"TBQ,Infra - Cloud",TBQ,TBQ,TBQ,TBQ,,Calculation,Calculation,Open-Source - Unkown,Yes,TBQ,Pilosa.PNG(https://db.boavizta.org/dltemp/bPvIaqHkVHT3cWr2/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/G9Dnmmxhmfp5wLf-54.PNG),,TBQ,Sandbox,Gael Duez,2024-04-26,,Product shall be launched in Q4 2024,,,,,,,0
Verdikt,Verdikt,https://verdikt.io/,,,,,,,,,,,,,Closed Source / Commercial,,,Logo-Verdikt.svg(https://db.boavizta.org/dltemp/gZ7LnW8v-rPHwxQJ/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/pjca9P3IGyXVrxaDG9.svg),,,Sandbox,Gaël Duez,,,,,,,,,,0
WeNR,ISIT,https://wenr.isit-europe.org/,,,"WeNR is a tool for measuring the footprint of organisations’ IT systems. This tool enables any type of organisation to analyse where the environmental impacts are and to measure their level of Sustainable IT maturity, based on the triptych People-Planet-Prosperity. For this purpose, ISIT proposes a tool based on open and public data.",Evaluation,Global - Information System,,,,,,,,Open-Source - Unkown,No,France,INR-logo-s.jpg(https://db.boavizta.org/dltemp/yIVGzcCxUdVgMpiF/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/TOZLlMiqzYrcPiDn-r.jpg),,,Sandbox,Gaël Duez,2024-02-02,,,,,,,,,0
